JINA_ID   Ref      Name                       Simbad_Identifier                    Fe/H    Eu/Fe   
563       CUI13    HE1405-0822                2MASS_J14074295-0836143              -2.37   1.52    
572       HAN15    HE1429-0347                2MASS_J14322606-0400309              -2.71   0.47    
592       AOK05    BS16083-172                2MASS_J14504144+4845136              -2.53   0.66    
600       AOK05    CS30325-028                2MASS_J15051979+0617069              -2.74   0.01    
602       LAI08    CS30325-028                2MASS_J15051979+0617069              -2.89   0.07    
606       RYA96    BS16472-0070               2MASS_J15082967-0035591              -2.71   <1.77   
609       SHE01    UMiO                       2MASS_J15083440+6710341              -1.89   0.12    
610       SHE01    UMiK                       2MASS_J15085547+6715162              -2.15   1.01    
611       AOK02d   CS30301-015                2MASS_J15085684+0230184              -2.64   0.22    
612       COH06    HE1509-0806                2MASS_J15114157-0817401              -2.96   <0.97   
613       COH13    HE1509-0806                2MASS_J15114157-0817401              -2.91   <0.92   
614       AOK05    CS30306-132                2MASS_J15141890+0727028              -2.4    0.74    
615       HON04    CS30306-132                2MASS_J15141890+0727028              -2.41   0.87    
616       HAN12    CS22890-024                2MASS_J15160539-0003578              -2.77   <0.89   
617       ROE14b   CS22890-024                2MASS_J15160539-0003578              -2.77   0.3     
628       HAN12    CS30312-100                2MASS_J15433166+0201174              -2.62   0.11    
629       MAS12    CS30312-100                2MASS_J15433166+0201174              -2.75   -0.07   
630       ROE14b   CS30312-100                2MASS_J15433166+0201174              -2.69   -0.17   
639       AOK05    BS16080-054                2MASS_J16391853+6057426              -2.89   -0.09   
652       PRE06    CS22878-121                2MASS_J16475003+1139112              -2.38   0.46    
657       COH09    Draco21456                 2MASS_J17181038+5752090              -2.39   1.09    
659       COH09    Draco3150                  2MASS_J17193630+5751247              -1.94   0.88    
660       SHE01    Draco343                   2MASS_J17201351+5751591              -1.84   0.48    
661       COH09    Draco361                   2MASS_J17203417+5753319              -1.54   0.23    
663       COH09    Draco19629                 2MASS_J17215819+5756042              -2.7    <1.01   
665       CAS15    J181503.64-375120.7        2MASS_J18150365-3751206              -2.84   <0.49   
666       CAS15    J183713.28-314109.3        2MASS_J18371329-3141091              -2.7    <0.5    
681       CAY04    CS22896-154                2MASS_J19422688-5658340              -2.68   0.84    
682       MCW95    CS22896-154                2MASS_J19422688-5658340              -2.71   0.94    
688       CAY04    CS22873-055                2MASS_J19534978-5940001              -2.98   -0.19   
716       AOK02d   CS22880-074                2MASS_J20460321-2059141              -1.93   0.61    
717       PRE01    CS22880-074                2MASS_J20460321-2059141              -1.78   0.54    
719       RYA96    CS30308-062                2MASS_J20510525-4410442              -2.92   <1.71   
720       AOK02a   CS30314-067                2MASS_J20525098-3419405              -2.85   <-0.01  
736       ALL12    CS22898-027                2MASS_J21054509-1836574              -2.3    1.9     
737       AOK02d   CS22898-027                2MASS_J21054509-1836574              -2.25   1.91    
739       MAS12    CS22898-027                2MASS_J21054509-1836574              -2.54   1.92    
740       MCW95    CS22898-027                2MASS_J21054509-1836574              -2.34   2.01    
741       PRE01    CS22898-027                2MASS_J21054509-1836574              -2.17   1.93    
742       ROE14a   CS30492-001                2MASS_J21055523-4210101              -2.62   <0.84   
743       ROE14b   CS30492-001                2MASS_J21055523-4210101              -2.62   <0.84   
744       AOK05    CS30319-020                2MASS_J21193930-2652395              -2.35   0.07    
750       PRE06    CS22948-006                2MASS_J21331768-3939428              -2.62   -0.11   
755       CAY04    CS29495-041                2MASS_J21363327-2818485              -2.81   -0.11   
757       BAR05    HE2134+0001                2MASS_J21370818+0015045              -2.22   0.46    
759       AOK02a   CS22948-027                2MASS_J21374577-3927223              -2.57   1.56    
761       BAB05    CS22948-027                2MASS_J21374577-3927223              -2.47   1.87    
763       ROE14b   CS29495-042                2MASS_J21391140-2817544              -2.54   0.61    
766       PRE06    CS22944-039                2MASS_J21451226-1441248              -2.41   0.18    
768       BAR05    HE2143+0030                2MASS_J21461207+0044457              -2.43   -0.02   
770       LAI07    CS22944-032                2MASS_J21474322-1340227              -2.64   <0.32   
771       LAI08    CS22944-032                2MASS_J21474322-1340227              -2.97   <0.65   
776       COH13    HE2148-1247                2MASS_J21511791-1233417              -2.3    1.95    
777       MAS12    CS22948-104                2MASS_J21514574-3752308              -2.81   -0.11   
781       BAR05    HE2153-2719                2MASS_J21560407-2704497              -2.49   0.2     
785       BAR05    HE2155+0136                2MASS_J21573755+0150201              -2.07   0.68    
786       BAR05    HE2154-2838                2MASS_J21574379-2824306              -1.85   0.44    
796       COH06    HE2158-0348                2MASS_J22003997-0334121              -2.75   0.85    
797       COH13    HE2158-0348                2MASS_J22003997-0334121              -2.66   0.74    
798       BAR05    HE2158-3112                2MASS_J22012150-3057575              -2.74   0.01    
801       HAN15    HE2159-0551                2MASS_J22021636-0536483              -2.81   -0.2    
806       CAY04    BS17569-049                2MASS_J22045836+0401321              -2.85   0.68    
810       PRE01    CS22881-036                2MASS_J22075843-4044164              -2.05   0.99    
811       ROE14b   CS22881-036                2MASS_J22075843-4044164              -2.34   0.55    
812       BAR05    HE2206-2245                2MASS_J22090942-2230161              -2.73   0.6     
818       BAR05    CS22892-052                2MASS_J22170165-1639271              -2.95   1.53    
820       HON04    CS22892-052                2MASS_J22170165-1639271              -2.91   1.53    
823       NOR97b   CS22892-052                2MASS_J22170165-1639271              -2.97   1.51    
832       BAR05    HE2216-1548                2MASS_J22193035-1533362              -1.7    0.57    
833       BAR05    HE2217-0706                2MASS_J22201799-0651164              -2.58   -0.15   
834       AOK05    CS22886-042                2MASS_J22202581-1023201              -2.55   0.17    
847       PRE06    CS22886-043                2MASS_J22223378-1014090              -2.14   0.78    
849       AOK02a   CS29502-092                2MASS_J22223599-0138275              -2.76   <-0.01  
855       ROE14a   CS22960-064                2MASS_J22240014-4235160              -2.77   0.34    
856       ROE14b   CS22960-064                2MASS_J22240014-4235160              -2.77   0.34    
865       BAR05    HE2224+0143                2MASS_J22272312+0158329              -2.58   1.04    
869       RYA96    CS29491-084                2MASS_J22284983-2857015              -2.74   <1.8    
872       BAR05    CS29491-069                2MASS_J22310218-3238365              -2.81   1.05    
873       HAY09    CS29491-069                2MASS_J22310218-3238365              -2.6    1.05    
878       BAR05    HE2229-4153                2MASS_J22324904-4138252              -2.59   0.44    
880       SIQ14    HE2229-4153                2MASS_J22324904-4138252              -2.61   0.37    
883       COH13    HE2232-0603                2MASS_J22344742-0548172              -2.23   0.42    
892       HAN15    HE2238-4131                2MASS_J22412267-4115571              -2.75   1.1     
896       BAR05    HE2242-1930                2MASS_J22451720-1914515              -2.21   0.54    
898       BAR05    HE2244-1503                2MASS_J22472583-1447301              -2.87   0.94    
904       BAR05    HE2252-4225                2MASS_J22545856-4209193              -2.82   0.98    
905       MAS14    HE2252-4225                2MASS_J22545856-4209193              -2.94   1.12    
906       BAR05    HE2252-4157                2MASS_J22553421-4141293              -1.93   0.52    
911       BAR05    HE2301-4024                2MASS_J23041403-4008201              -2.1    0.97    
912       ROE14b   CS22888-002                2MASS_J23043723-3639579              -2.93   <0.96   
919       MAS12    CS22949-008b               2MASS_J23165873-0320525              -2.19   <1.47   
920       MAS12    CS22949-008a               2MASS_J23165873-0320525              -2.19   <0.67   
921       JAC15    2MASS_J23203653-3637223    2MASS_J23203653-3637223              -2.63   <1.01   
941       IVA03    CS22941-012                2MASS_J23282973-3248464              -2.02   <1.72   
945       BAR05    HE2327-5642                2MASS_J23303707-5626142              -2.93   1.21    
946       MAS10    HE2327-5642                2MASS_J23303707-5626142              -2.78   0.97    
950       ROE14b   CS22945-028                2MASS_J23311355-6629578              -2.92   0.26    
961       ROE14b   CS22945-024                2MASS_J23364248-6535437              -2.58   0.44    
984       CAY04    CS22966-057                2MASS_J23485776-2939228              -2.61   0.39    
990       BAR05    HE2347-1334                2MASS_J23502682-1317391              -2.56   -0.26   
992       MAS12    CS29517-025                2MASS_J23542883-1359567              -2.62   0.6     
