# X Y X1 X2 Y1 Y2
   -2.71     0.29        0        0        0        0  #J14033542-3335257 
   -2.73     0.02        0        0        0        0  #J14164084-2422000 
   -2.79     1.61        0        0        0        0  #J14325334-4125494 
   -2.83      1.7        0        0        0        0  #J15260106-0911388 
   -2.54     0.89        0        0        0        0  #J15582962-1224344 
   -2.82     0.17        0        0        0        0  #J16095117-0941174 
   -2.51     0.02        0        0        0        0  #J17094926-6239285 
   -2.78     0.48        0        0        0        0  #J17124284-5211479 
   -2.59     0.18        0        0        0        0  #J17255680-6603395 
   -3.02    -0.07        0        0        0        0  #J18121045-4934495 
   -2.57     0.57        0        0        0        0  #J18362318-6428124 
   -2.52     0.56        0        0        0        0  #J18363613-7136597 
   -2.56     0.74        0        0        0        0  #J19215077-4452545 
   -2.81    -0.39        0        0        0        0  #J19494025-5424113 
   -2.79     0.04        0        0        0        0  #J19534978-5940001 
   -2.91     0.54        0        0        0        0  #J21063474-4957500 
   -2.76     1.32        0        0        0        0  #J21064294-6828266 
   -2.73     0.77        0        0        0        0  #J21095804-0945400 
   -2.96      0.9        0        0        0        0  #J21224590-4641030 
   -2.81     0.58        0        0        0        0  #J21262525-2144243 
   -2.64     0.61        0        0        0        0  #J23022289-6833233 
   -3.13     0.69        0        0        0        0  #J23265258-0159248 
   -2.99     1.28        0        0        0        0  #2MASSJ09544277+5246414 
   -3.16     0.23     0.15     0.15     0.05     0.05  #J0858-0809 
   -2.97     1.44     0.13     0.13     0.09     0.09  #J1432-4125 
   -3.22     0.91        0        0     0.06     0.06  #BD-02_5957 
   -2.89     0.18        0        0      0.1      0.1  #HE1317-0407 
   -2.48     0.48     0.01     0.01     0.07     0.07  #J024139.0-042735 
   -2.52     0.58     0.01     0.01     0.06     0.06  #J114440.9-040951 
   -2.72     0.33     0.02     0.02      0.2      0.2  #J120456.3-075923 
   -2.62     0.93     0.01     0.01     0.11     0.11  #J133748.9-082617 
   -2.71      0.1     0.01     0.01      0.2      0.2  #J133931.4-125721 
   -2.51     0.44     0.01     0.01     0.06     0.06  #J134254.1-071701 
   -2.57     0.14     0.01     0.01      0.1      0.1  #J141640.8-242200 
   -2.66     0.41     0.01     0.01     0.06     0.06  #J160951.2-094118 
   -2.74     0.86     0.02     0.02     0.07     0.07  #J200506.7-305745 
   -2.89     1.42        0        0      0.1      0.1  #J203843.2-002333 
   -2.58      0.6     0.01     0.01     0.07     0.07  #J211621.9-021342 
   -2.88     0.78        0        0     0.05     0.05  #TYC75-1185-1 
   -2.58    -0.28     0.16     0.16        0        0  #SMSSJ212001.71-001158.6 
   -2.92    -0.44     0.18     0.18     0.12     0.12  #LAMOSTJ221639.30+223250.3 
   -3.11    -0.01     0.16     0.16     0.13     0.13  #2MASSJ03265389+0202281 
   -2.72    -0.15     0.12     0.12     0.11     0.11  #2MASSJ11084718+2530472 
   -2.76     0.14     0.16     0.16     0.14     0.14  #2MASSJ12564239+3440589 
      -3     0.13     0.19     0.19     0.16     0.16  #2MASSJ14131567+1727207 
   -2.94     0.07     0.15     0.15     0.15     0.15  #2MASSJ16303581+0953170 
    -2.7     0.18     0.03     0.03     0.07     0.07  #KIC5439372 
   -3.17     0.94     0.09     0.09     0.12     0.12  #J1109+0754 
   -2.77     1.79        0        0      0.3      0.3  #RAVEJ012931.1-160046 
   -2.64     0.59        0        0      0.2      0.2  #RAVEJ035550.9-721151 
   -2.51     0.41        0        0      0.2      0.2  #RAVEJ114444.8-112817 
   -2.65     0.35        0        0      0.2      0.2  #RAVEJ151558.3-203821 
   -2.58     0.71        0        0      0.2      0.2  #RAVEJ155829.6-122434 
   -2.65     1.08        0        0      0.3      0.3  #RAVEJ171633.4-700902 
    -2.5     0.71        0        0      0.3      0.3  #RAVEJ183623.2-642812 
   -2.79     0.89        0        0      0.2      0.2  #RAVEJ194550.6-392631 
   -2.92     0.82        0        0      0.3      0.3  #RAVEJ210642.9-682827 
   -3.01    -0.46      0.1      0.1      0.1      0.1  #HE1210-2729 
   -2.83     0.72     0.14     0.14      0.1      0.1  #HE2234-4757 
   -2.61     0.36     0.15     0.15     0.15     0.15  #HE2322-6125 
   -3.57     1.84     0.11     0.11      0.1      0.1  #SMSSJ200322.54-114203.3 
    -2.8     1.44     0.11     0.11     0.09     0.09  #J0040+2729 
   -3.22     1.35     0.11     0.11      0.1      0.1  #J0124+0458 
   -3.21     1.29     0.09     0.09     0.07     0.07  #J0405+2141 
   -2.57     0.44     0.09     0.09     0.09     0.09  #J0643+5934 
   -3.25     0.68     0.14     0.14     0.11     0.11  #J0711+3538 
   -2.93     1.08     0.15     0.15     0.15     0.15  #J1158+0734 
   -2.76     0.42     0.15     0.15     0.13     0.13  #J1207+2244 
   -2.64     0.64     0.13     0.13     0.14     0.14  #J1208+3954 
   -2.83     0.66     0.13     0.13     0.14     0.14  #J1213+2506 
   -2.81        1     0.14     0.14     0.11     0.11  #J1341+3255 
    -2.7      0.1     0.11     0.11     0.12     0.12  #J1345+0513 
   -3.06     0.36     0.12     0.12     0.12     0.12  #J1352+2646 
   -2.58     0.57      0.1      0.1     0.08     0.08  #J1400+4926 
   -3.26     0.65     0.15     0.15     0.22     0.22  #J1413+1727 
   -2.61     0.48     0.09     0.09     0.11     0.11  #J1423+0322 
   -2.76     0.61     0.11     0.11     0.09     0.09  #J1459+0444 
   -2.61     0.93     0.13     0.13      0.1      0.1  #J1501+3445 
   -2.63     0.86     0.12     0.12     0.13     0.13  #J1523+0714 
   -2.89      0.5     0.09     0.09     0.07     0.07  #J1640+1550 
   -3.02     1.04     0.13     0.13      0.1      0.1  #J1650+4313 
   -2.62     0.16     0.13     0.13     0.17     0.17  #J1650+5402 
    -2.6     0.66     0.12     0.12     0.12     0.12  #J1657+3443 
   -2.77     0.66     0.09     0.09     0.09     0.09  #J1719+1358 
   -2.83     0.91     0.13     0.13     0.11     0.11  #J2159+0308 
   -2.81     0.26     0.09     0.09     0.07     0.07  #J2216+2232 
