JINA_ID   Ref      Name                       Simbad_Identifier                    Fe/H    Mg/Fe  
337       BAR05    HE0436-4008                2MASS_J04381113-4003017              -2.35   0.2    
338       BAR05    HE0441-4343                2MASS_J04432041-4338205              -2.52   0.29   
339       AOK07a   HE0441-0652                2MASS_J04432988-0646534              -2.52   0.33   
341       BAR05    HE0442-1234                2MASS_J04445170-1228454              -2.41   0.29   
344       BAR05    HE0447-4858                2MASS_J04490101-4853361              -1.69   0.23   
345       BAR05    HE0450-4705                2MASS_J04513356-4700038              -3.1    0.2    
347       BAR05    HE0454-4758                2MASS_J04552670-4753417              -3.1    0.27   
348       ROE14b   HE0454-4758                2MASS_J04552670-4753417              -3.38   0.54   
349       BAR05    HE0501-5644                2MASS_J05023526-5640208              -2.4    0.27   
350       BAR05    HE0501-5139                2MASS_J05024821-5135362              -2.38   0.17   
352       BAR05    CS31072-118                2MASS_J05085355-5918217              -3.06   0.3    
353       BAR05    HE0512-3835                2MASS_J05135949-3831546              -2.39   0.31   
354       BAR05    HE0513-4557                2MASS_J05151221-4554104              -2.79   0.32   
355       BAR05    HE0516-3820                2MASS_J05181291-3817326              -2.32   0.2    
357       BAR05    HE0517-1952                2MASS_J05191876-1949131              -2.61   0.18   
358       BAR05    HE0519-5525                2MASS_J05195914-5522418              -2.52   0.39   
359       BAR05    HE0520-1748                2MASS_J05222586-1746069              -2.52   0.22   
361       BAR05    HE0524-2055                2MASS_J05270444-2052420              -2.59   0.31   
364       BAR05    2MASSJ05355294-4613359     2MASS_J05355294-4613359              -2.01   0.21   
366       BAR05    HE0538-4515                2MASS_J05394613-4513330              -1.52   0.19   
367       BAR05    HE0547-4539                2MASS_J05491378-4539040              -3.01   0.11   
377       BAR05    HE0858-0016                2MASS_J09013236-0028019              -2.75   0.24   
379       JAC15    2MASS_J09380777-0600392    2MASS_J09380777-0600392              -2.68   0.22   
380       BAR05    HE0951-1152                2MASS_J09541733-1206151              -2.62   0.52   
381       AOK07a   HE1005-1439                2MASS_J10075239-1454209              -3.22   0.58   
384       SHE01    SextS58                    2MASS_J10121613-0145482              -1.43   -0.5   
385       SHE01    SextS56                    2MASS_J10124182-0145273              -1.91   0.19   
386       SHE01    SextS36                    2MASS_J10130491-0139129              -2.17   -0.11  
387       SHE01    SextS49                    2MASS_J10131154-0143017              -2.83   0.37   
388       SHE01    SextS35                    2MASS_J10135771-0138531              -1.91   0.23   
390       COH13    HE1012-1540                2MASS_J10145347-1555532              -3.51   1.36   
394       BAR05    HE1015-0027                2MASS_J10173569-0042243              -2.65   0.32   
395       JAC15    2MASS_J10242264-2904203    2MASS_J10242264-2904203              -3.13   0.43   
396       JAC15    2MASS_J10275895-3006391    2MASS_J10275895-3006391              -2.96   0.35   
397       JAC15    2MASS_J10283035-2951115    2MASS_J10283035-2951115              -2.39   0.38   
398       JAC15    2MASS_J10294248-0103238    2MASS_J10294248-0103238              -2.39   0.38   
402       COH06    HE1031-0020                2MASS_J10342421-0036083              -2.91   0.5    
403       COH13    HE1031-0020                2MASS_J10342421-0036083              -2.81   0.45   
404       BAR05    HE1044-2509                2MASS_J10471647-2525183              -2.88   0.27   
407       BAR05    HE1052-2548                2MASS_J10552053-2604480              -2.29   0.14   
409       BAR05    HE1054-0059                2MASS_J10564775-0115294              -3.34   0.25   
410       ROE14b   G146-76                    2MASS_J10595749+4446439              -2.08   0.31   
412       BAR05    HE1059-0118                2MASS_J11020338-0134144              -2.8    0.44   
415       BAR05    HE1105+0027                2MASS_J11074950+0011383              -2.42   0.45   
417       BAR05    HE1122-1429                2MASS_J11250669-1446042              -2.65   0.31   
418       BAR05    HE1124-2335                2MASS_J11272694-2352056              -2.93   0.33   
420       ROE14b   HE1124-2335                2MASS_J11272694-2352056              -3.36   0.59   
421       BAR05    HE1126-1735                2MASS_J11285140-1751429              -2.69   0.29   
423       BAR05    HE1127-1143                2MASS_J11295061-1200124              -2.72   0.2    
425       BAR05    HE1128-0823                2MASS_J11304432-0839547              -2.71   0.21   
426       BAR05    HE1131+0141                2MASS_J11343212+0124417              -2.49   0.22   
427       BAR05    HE1132+0125                2MASS_J11344670+0109013              -2.38   0.36   
428       BAR05    HE1132+0204                2MASS_J11345100+0147280              -2.53   0.18   
430       BAR05    HE1135+0139                2MASS_J11380985+0122441              -2.31   0.31   
434       BAR05    HE1148-0037                2MASS_J11511498-0054111              -3.47   -0.1   
435       COH06    HE1150-0428                2MASS_J11530660-0445033              -3.35   0.33   
436       COH13    HE1150-0428                2MASS_J11530660-0445033              -3.21   0.34   
437       AOK07a   HE1157-0518                2MASS_J12001806-0534431              -2.39   0.48   
438       AOK07a   BS16920-005                2MASS_J12071683+4139325              -3.22   0.47   
444       BAR05    HE1210-1956                2MASS_J12125088-2012581              -2.57   0.39   
445       BAR05    HE1210+0048                2MASS_J12132784+0032111              -2.26   0.23   
446       BAR05    HE1212-0127                2MASS_J12151825-0143547              -2.16   0.11   
447       BAR05    HE1214-1819                2MASS_J12170156-1835546              -3.0    0.36   
448       BAR05    HE1215+0149                2MASS_J12174314+0132327              -2.9    0.33   
449       BAR05    HE1217-0540                2MASS_J12195366-0557158              -2.94   0.4    
451       BAR05    HE1219-0312                2MASS_J12213413-0328396              -2.8    0.02   
